都道府県コード,都道府県,人口_2020,面積_km2,病院数_2020,医師数_2020
01,北海道,5224614,78421.38,547,13731
02,青森県,1237984,9645.64,94,2773
03,岩手県,1210534,15275.01,92,2700
04,宮城県,2301996,7282.29,136,5950
05,秋田県,959502,11637.52,66,2444
06,山形県,1068027,9323.15,67,2608
07,福島県,1833152,13784.14,125,3958
08,茨城県,2867009,6097.39,173,5838
09,栃木県,1933146,6408.09,104,4773
10,群馬県,1939110,6362.28,128,4735
11,埼玉県,7344765,3797.75,342,13604
12,千葉県,6284480,5157.57,289,13396
13,東京都,14047594,2194.03,638,48072
14,神奈川県,9237337,2416.11,336,21377
15,新潟県,2201272,12583.96,125,4803
16,富山県,1034814,4247.58,106,2832
17,石川県,1132526,4186.21,91,3486
18,福井県,766863,4190.52,67,2074
19,山梨県,809974,4465.27,60,2101
20,長野県,2048011,13561.56,126,5217
21,岐阜県,1978742,10621.29,97,4580
22,静岡県,3633202,7777.35,171,8271
23,愛知県,7542415,5173.07,321,17842
24,三重県,1770254,5774.49,93,4298
25,滋賀県,1413610,4017.38,57,3496
26,京都府,2578087,4612.20,163,9156
27,大阪府,8837685,1905.32,512,26431
28,兵庫県,5465002,8401.02,347,15133
29,奈良県,1324473,3690.94,75,3810
30,和歌山県,922584,4724.65,83,2941
31,鳥取県,553407,3507.14,43,1871
32,島根県,671126,6707.69,47,2108
33,岡山県,1888432,7114.33,161,6290
34,広島県,2799702,8479.65,237,7805
35,山口県,1342059,6112.54,142,3682
36,徳島県,719559,4146.75,107,2567
37,香川県,950244,1876.78,88,2886
38,愛媛県,1334841,5676.19,134,3847
39,高知県,691527,7103.63,122,2305
40,福岡県,5135214,4986.51,456,16784
41,佐賀県,811442,2440.69,100,2445
42,長崎県,1312317,4130.98,148,4399
43,熊本県,1738301,7409.46,208,5415
44,大分県,1123852,6340.76,153,3370
45,宮崎県,1069576,7735.22,137,2879
46,鹿児島県,1588256,9187.06,234,4653
47,沖縄県,1467480,2282.59,90,3887
