都道府県コード,都道府県,人口_2020,面積_km2
01,北海道,5224614,78421.38
02,青森県,1237984,9645.64
03,岩手県,1210534,15275.01
04,宮城県,2301996,7282.29
05,秋田県,959502,11637.52
06,山形県,1068027,9323.15
07,福島県,1833152,13784.14
08,茨城県,2867009,6097.39
09,栃木県,1933146,6408.09
10,群馬県,1939110,6362.28
11,埼玉県,7344765,3797.75
12,千葉県,6284480,5157.57
13,東京都,14047594,2194.03
14,神奈川県,9237337,2416.11
15,新潟県,2201272,12583.96
16,富山県,1034814,4247.58
17,石川県,1132526,4186.21
18,福井県,766863,4190.52
19,山梨県,809974,4465.27
20,長野県,2048011,13561.56
21,岐阜県,1978742,10621.29
22,静岡県,3633202,7777.35
23,愛知県,7542415,5173.07
24,三重県,1770254,5774.49
25,滋賀県,1413610,4017.38
26,京都府,2578087,4612.20
27,大阪府,8837685,1905.32
28,兵庫県,5465002,8401.02
29,奈良県,1324473,3690.94
30,和歌山県,922584,4724.65
31,鳥取県,553407,3507.14
32,島根県,671126,6707.69
33,岡山県,1888432,7114.33
34,広島県,2799702,8479.65
35,山口県,1342059,6112.54
36,徳島県,719559,4146.75
37,香川県,950244,1876.78
38,愛媛県,1334841,5676.19
39,高知県,691527,7103.63
40,福岡県,5135214,4986.51
41,佐賀県,811442,2440.69
42,長崎県,1312317,4130.98
43,熊本県,1738301,7409.46
44,大分県,1123852,6340.76
45,宮崎県,1069576,7735.22
46,鹿児島県,1588256,9187.06
47,沖縄県,1467480,2282.59
