都道府県,15歳未満_人,15_64歳_人,65歳以上_人,総人口_人,65歳以上割合
北海道,557000,2989000,1679000,5225000,0.32134
青森県,130000,690000,418000,1238000,0.337641
岩手県,133000,671000,407000,1211000,0.336086
宮城県,269000,1385000,648000,2302000,0.281494
秋田県,93000,507000,360000,960000,0.375
山形県,120000,587000,361000,1068000,0.338015
福島県,207000,1046000,580000,1833000,0.316421
茨城県,335000,1682000,851000,2868000,0.296722
栃木県,228000,1143000,562000,1933000,0.29074
群馬県,227000,1128000,585000,1940000,0.301546
埼玉県,873000,4488000,1984000,7345000,0.270116
千葉県,737000,3814000,1734000,6285000,0.275895
東京都,1568000,9284000,3195000,14047000,0.227451
神奈川県,1086000,5790000,2361000,9237000,0.255602
新潟県,248000,1232000,721000,2201000,0.327578
富山県,116000,582000,337000,1035000,0.325604
石川県,137000,658000,337000,1132000,0.297703
福井県,96000,436000,235000,767000,0.306389
山梨県,93000,467000,250000,810000,0.308642
長野県,245000,1148000,655000,2048000,0.319824
岐阜県,243000,1134000,602000,1979000,0.304194
静岡県,439000,2101000,1093000,3633000,0.300853
愛知県,980000,4655000,1907000,7542000,0.252851
三重県,213000,1027000,530000,1770000,0.299435
滋賀県,192000,850000,372000,1414000,0.263083
京都府,294000,1527000,756000,2577000,0.293364
大阪府,1032000,5363000,2442000,8837000,0.276338
兵庫県,667000,3197000,1601000,5465000,0.292955
奈良県,155000,750000,420000,1325000,0.316981
和歌山県,106000,509000,308000,923000,0.333694
鳥取県,69000,306000,179000,554000,0.323105
島根県,82000,360000,230000,672000,0.342262
岡山県,233000,1082000,573000,1888000,0.303496
広島県,354000,1623000,823000,2800000,0.293929
山口県,154000,724000,465000,1343000,0.34624
徳島県,78000,395000,246000,719000,0.342142
香川県,115000,534000,302000,951000,0.31756
愛媛県,154000,737000,443000,1334000,0.332084
高知県,75000,371000,245000,691000,0.354559
福岡県,667000,3035000,1433000,5135000,0.279065
佐賀県,109000,454000,249000,812000,0.30665
長崎県,165000,715000,433000,1313000,0.329779
熊本県,229000,963000,546000,1738000,0.314154
大分県,136000,614000,374000,1124000,0.33274
宮崎県,140000,580000,349000,1069000,0.326473
鹿児島県,208000,864000,517000,1589000,0.325362
沖縄県,244000,892000,331000,1467000,0.225631
